longitude,latitude,B2,B3,B4,B8,B11,B12,NDVI,EVI,SAVI,NBR,ETH_CanopyHeight,Elevation,Slope,Aspect,Class
111.69746565846962,-8.048860029946706,876.0,881.0,732.0,3225.0,2761.0,1538.0,0.63002276,5.947041984732825,0.944914718888187,0.35418853,25,207,26,211,Primary_Forest
111.69764532152645,-8.049129524531942,968.0,904.0,1034.0,2690.0,2783.0,1744.0,0.44468313,2.532110091743119,0.6669351590817559,0.21335137,25,200,22,219,Primary_Forest
111.69755548999804,-8.049219356060354,865.0,940.0,983.0,2822.0,2793.0,1846.0,0.48331144,2.0584284754869038,0.7248718959400867,0.20908312,25,194,24,224,Primary_Forest
111.69719616388439,-8.04903969300353,983.0,958.0,858.0,2998.0,2792.0,1586.0,0.55497926,6.907682375726275,0.8323609490470634,0.30802792,27,189,26,212,Primary_Forest
111.69674700624233,-8.048590535361472,722.0,795.0,738.0,2976.0,2397.0,1375.0,0.60258484,2.8115577889447234,0.9037555525642751,0.36796138,24,203,30,197,Primary_Forest
111.69530970178774,-8.04724306243529,1346.0,1350.0,1150.0,2952.0,2736.0,1691.0,0.4392979,-18.615702479338843,0.6588665447897624,0.27159163,33,223,29,228,Primary_Forest
111.6949503756741,-8.047332893963704,1486.0,1508.0,1030.0,2861.0,2913.0,1782.0,0.47057313,-2.176652401331431,0.7057689836823847,0.23239285,31,203,27,231,Primary_Forest
111.69845380528216,-8.053890595537776,1392.0,1260.0,1124.0,3629.0,2980.0,2008.0,0.52703553,-94.88636363636363,0.790470179867466,0.2875643,25,184,24,176,Primary_Forest
111.69818431069692,-8.053890595537776,1424.0,1412.0,1334.0,3908.0,3187.0,2056.0,0.49103397,5.218978102189781,0.736480686695279,0.31052986,25,182,24,196,Primary_Forest
111.69791481611169,-8.05416009012301,1694.0,1682.0,1526.0,3577.0,3157.0,2006.0,0.40192044,176.8103448275862,0.602821593024395,0.28138992,25,167,19,202,Primary_Forest
111.70285555017435,-8.05317194331048,867.0,899.0,751.0,2411.0,2651.0,1692.0,0.5249842,9.987966305655837,0.7873517786561264,0.17523763,20,136,11,93,Primary_Forest
111.70285555017435,-8.053261774838893,914.0,907.0,902.0,2303.0,2651.0,1692.0,0.4371295,4.06794425087108,0.6555919513336452,0.15294118,20,136,12,92,Primary_Forest
111.70276571864594,-8.053531269424129,1072.0,1156.0,1030.0,2598.0,2763.0,1891.0,0.43219405,5.3044654939106906,0.6482017362546507,0.1574961,19,138,13,97,Primary_Forest
111.69863346833898,-8.054249921651424,1500.0,1324.0,1092.0,3068.0,2565.0,1738.0,0.475,-3.0325352977286677,0.7124143732724433,0.27673742,26,164,22,163,Primary_Forest
111.69773515305486,-8.054339753179836,1198.0,1446.0,1478.0,3416.0,3057.0,1913.0,0.3959951,1.4681818181818183,0.5939319644498927,0.28204167,24,158,20,209,Primary_Forest
111.69917245750945,-8.0540702585946,1752.0,1740.0,1500.0,4047.0,3032.0,1869.0,0.45916712,-69.21195652173913,0.6886885984677782,0.36815417,29,164,22,173,Primary_Forest
111.69899279445264,-8.052992280253656,1794.0,1636.0,1340.0,3063.0,2818.0,1896.0,0.3913241,-1.8321990642279882,0.5869194958555695,0.2353297,25,221,24,163,Primary_Forest
111.69881313139581,-8.05317194331048,1520.0,1440.0,1198.0,3357.0,2986.0,1904.0,0.47398463,-6.320257611241217,0.710898913401383,0.27618325,25,213,26,175,Primary_Forest
111.69881313139581,-8.05317194331048,1520.0,1440.0,1198.0,3357.0,2986.0,1904.0,0.47398463,-6.320257611241217,0.710898913401383,0.27618325,25,213,26,175,Primary_Forest
111.69782498458328,-8.054339753179836,1164.0,1408.0,1520.0,3533.0,3057.0,1913.0,0.3983772,1.2824923547400613,0.5975066785396259,0.29746604,25,159,20,205,Primary_Forest
111.6987232998674,-8.04903969300353,936.0,1008.0,1196.0,3371.0,3432.0,2283.0,0.4762426,1.5412414965986396,0.7142857142857142,0.19243014,18,200,13,74,Secondary_Forest
